tconst,averageRating,numVotes
tt10023718,6.2,10
tt10023722,7.6,35
tt10023730,7.3,12
tt10023738,6.1,10
tt10023744,7.5,34
tt10023758,6.1,8
tt10023760,6.9,10
tt10023764,6.3,10
tt10023776,7.6,29
tt10023786,6.2,10
tt10023794,5.6,9
tt10024044,8.4,5
tt10024074,8.0,8
tt10024102,7.4,32
tt10024142,7.5,6
tt10024156,7.4,40
tt10024184,7.2,5
tt10024716,6.6,19
tt10024910,7.4,17
tt10024918,7.4,13
tt10024922,7.3,12
tt10024934,7.6,11
tt10024938,7.5,11
tt10024948,7.5,10
tt10024952,7.5,10
tt10024962,7.5,10
tt10024972,7.4,10
tt10024978,7.4,10
tt10024982,7.5,11
tt10025230,7.2,6
tt10025392,7.9,13
tt10025686,9.2,207
tt10025702,9.9,119
tt10025732,7.9,46
tt10025738,6.3,26
tt10025742,7.0,6
tt10025922,8.7,77
tt10026104,8.5,6
tt10026120,7.7,51
tt10026172,7.7,131
tt10026178,5.5,27
tt10026180,8.1,48
tt10026186,7.9,41
tt10026236,7.8,21
tt10026240,8.9,20
tt10026242,8.7,20
tt10026246,8.0,21
tt10026250,8.1,18
tt10026252,8.6,20
tt10026256,7.9,18
tt10026258,8.0,21
tt10026262,8.4,18
tt10026266,8.8,17
tt10026270,8.6,12
tt10026274,9.2,17
tt10026350,8.8,8
tt10026432,8.4,7
tt10026482,7.6,9
tt10026686,7.7,41
tt10026730,7.0,9
tt10026846,9.4,8
tt10026946,7.6,174
tt10026948,7.4,148
tt10026956,7.8,29
tt10026958,7.4,30
tt10026962,7.2,29
tt10026994,6.9,19
tt10027036,6.5,6
tt10027356,8.7,7
tt10027360,8.4,5
tt10027476,7.3,7
tt10027512,6.5,6
tt10027572,8.0,11
tt10027584,7.5,6
tt10027696,8.2,25
tt10027894,9.1,9
tt10027946,6.7,396
tt10027954,7.4,63
tt10027980,7.4,5
tt10027982,7.6,9
tt10027984,7.7,7
tt10027990,6.6,500
tt10028000,6.7,33
tt10028002,7.1,37
tt10028004,7.1,38
tt10028108,8.7,6
tt10028110,8.4,7
tt10028130,4.3,7
tt10028132,5.3,6
tt10028134,5.1,7
tt10028138,5.3,6
tt10028140,4.0,5
tt10028142,5.7,7
tt10028144,5.1,7
tt10028146,4.7,7
tt10028158,8.2,6
tt10028422,7.0,11
tt10028532,8.4,22
tt10028546,8.4,21
tt10028556,6.6,9
tt10028598,7.2,9
tt10028672,7.3,7
tt10028678,8.8,6
tt10028690,7.8,6
tt10028700,8.2,6
tt10029090,10.0,5
tt10029182,5.8,5
tt10029270,7.6,12
tt10029284,7.7,7
tt10029300,6.8,47
tt10029600,6.5,6
tt10029602,7.2,6
tt10029614,7.6,5
tt10029616,8.5,6
tt10029626,8.0,6
tt10030460,5.9,15
tt10030522,8.8,128
tt10030526,9.3,121
tt10030534,9.3,86
tt10030536,8.3,60
tt10030540,8.0,53
tt10030558,8.9,51
tt10030570,9.0,52
tt10030580,8.9,56
tt10031392,7.6,10
tt10031470,7.8,6
tt10031520,8.9,82
tt10031878,7.2,9
tt10031882,6.2,10
tt10031884,6.6,9
tt10031886,6.2,10
tt10031888,7.0,11
tt10031900,7.0,6
tt10031924,6.7,10
tt10031926,6.0,11
tt10031928,6.2,12
tt10031932,5.2,11
tt10031942,8.8,9
tt10031992,6.4,19
tt10031996,6.3,19
tt10031998,6.3,19
tt10032036,8.2,5
tt10032046,8.2,6
tt10032372,5.0,5
tt10032524,8.4,11
tt10032648,7.2,20
tt10032876,7.1,7
tt10032888,7.2,6
tt10032920,8.7,6
tt10032954,8.7,6
tt10033642,6.4,7
tt10033654,7.8,5
tt10033908,4.8,11
tt10033926,6.3,19
tt10034168,6.8,9
tt10034236,7.9,17
tt10034244,8.1,14
tt10034272,7.9,189
tt10034424,6.7,12
tt10034522,8.5,148
tt10034566,6.8,39
tt10034574,6.6,16
tt10034598,8.7,34
tt10034602,9.9,7602
tt10034790,9.3,58
tt10035012,4.9,8
tt10035144,6.4,9
tt10035154,7.7,7
tt10035166,3.8,5
tt10035202,6.9,9
tt10035750,7.8,42
tt10035998,7.2,68
tt10036094,6.8,6
tt10036164,6.7,6
tt10036172,5.5,10
tt10036314,6.6,5
tt10036356,7.2,8
tt10036400,6.2,6
tt10036412,3.0,47
tt10036682,6.5,15
tt10036852,7.2,6
tt10036886,7.8,12
tt10037004,7.8,14
tt10037018,3.2,11
tt10037066,7.8,5
tt10037128,9.8,6
tt10037134,7.9,9
tt10037246,7.5,6
tt10037248,8.7,6
tt10037250,6.2,10
tt10037252,8.8,5
tt10037254,8.8,6
tt10037264,7.7,6
tt10037604,7.8,5
tt10037700,9.3,48
tt10037976,8.9,7
tt10038012,6.9,14
tt10038028,1.6,30
tt10038064,9.6,5
tt10038106,8.5,13
tt10038224,10.0,7
tt10038254,8.7,7
tt10038600,6.2,125
tt10038648,8.4,5
tt10038720,7.9,9
tt10038794,8.6,5
tt10039344,5.3,3345
tt10039418,6.0,6
tt10039426,4.8,28
tt10039468,6.8,185
tt10039590,6.8,5
